State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,Temperature(°C),Humidity(%),FarmExperience(Years),NumWorkers,CreditAccess,ExtensionServices,PreviousYield(tons/ha),YieldCategory,Rainfall(mm)_log,SoilPH_log,Fertilizer(kg/ha)_log,Pesticide(L/ha)_log,DistanceToMarket(km)_log,PlantingDensity(plants/ha)_log,ActualYield(tons/ha)_log,FarmSize(Hectares)_log,FarmAccessComfort,EnvironmentComfort,SoilIndex,IncreaseRate
Kebbi,Maize,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,29.8,63.0,19,3,0,1,1.11,High,6.358,1.89,3.353,2.004,3.174,11.513,1.953,0.626,0.197,0.473,1.213,0.37
Sokoto,Millet,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,No,30.0,64.7,13,4,1,1,3.88,Medium,6.555,1.949,3.92,1.43,3.661,10.866,1.493,2.17,0.593,0.464,1.117,0.97
Bauchi,Cowpea,Dry Season,Sandy,Irrigation,Flood,No,No,Yes,30.1,52.2,21,3,0,0,3.04,Low,6.719,1.782,3.696,1.821,3.364,11.107,1.166,0.322,0.096,0.577,1.227,1.013
Yobe,Groundnut,Dry Season,Clay,Rain-Fed,Sprinkler,No,No,No,26.7,49.7,20,4,0,1,1.55,Low,6.708,2.239,4.737,1.973,1.03,10.839,0.948,0.678,0.658,0.537,0.962,0.388
Adamawa,Cowpea,Dry Season,Clay,Irrigation,Drip,Yes,Yes,Yes,25.9,80.0,22,6,0,1,3.61,High,6.83,1.766,4.267,1.212,1.825,10.971,1.831,0.798,0.437,0.324,1.132,0.602
Benue,Sorghum,Dry Season,Sandy,Mixed,Flood,Yes,Yes,No,27.2,56.3,13,4,1,0,3.26,Medium,6.509,2.019,4.536,1.416,2.241,10.828,1.423,0.944,0.421,0.483,0.993,0.815
Bauchi,Millet,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,23.7,77.0,14,2,1,0,5.29,Medium,6.649,2.041,5.082,0.593,3.307,10.576,1.459,1.082,0.327,0.308,0.933,2.645
Zamfara,Cowpea,Rainy Season,Sandy,Irrigation,Flood,No,Yes,Yes,30.3,40.7,15,2,0,0,3.78,Medium,6.216,1.91,4.354,1.353,3.001,10.246,1.401,1.601,0.533,0.744,0.992,1.89
Kebbi,Groundnut,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,28.2,44.5,12,1,0,0,3.02,Medium,6.989,2.0,4.576,1.611,3.6,10.961,1.515,1.558,0.433,0.634,1.063,3.02
Taraba,Cowpea,Dry Season,Clay,Rain-Fed,Flood,No,Yes,No,23.2,50.5,1,3,0,0,3.33,Low,7.012,1.795,4.516,0.788,0.693,10.314,1.044,0.285,0.411,0.459,1.111,1.11
Katsina,Yam,Dry Season,Silt,Irrigation,Flood,Yes,No,No,27.9,53.2,8,4,0,1,1.68,Medium,6.564,1.708,4.731,1.82,3.656,10.707,1.537,1.314,0.359,0.524,1.019,0.42
Kebbi,Wheat,Rainy Season,Sandy,Irrigation,Drip,Yes,No,Yes,34.4,80.0,4,3,0,1,1.88,Medium,6.808,1.97,4.541,1.85,3.374,10.774,1.404,1.867,0.553,0.43,1.046,0.627
Adamawa,Wheat,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,Yes,26.1,76.8,10,1,1,0,2.26,High,6.752,2.041,4.388,1.905,2.715,10.63,1.872,0.104,0.038,0.34,1.05,2.26
Adamawa,Cowpea,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,30.4,55.7,13,3,1,1,3.58,High,6.771,1.879,3.207,1.396,2.75,10.918,1.947,1.361,0.495,0.546,1.331,1.193
Benue,Groundnut,Rainy Season,Loamy,Irrigation,Flood,No,Yes,Yes,30.6,57.2,20,6,1,1,1.79,High,6.764,1.959,4.598,0.425,2.303,11.131,1.953,0.92,0.399,0.535,1.032,0.298
Zamfara,Yam,Rainy Season,Sandy,Mixed,Flood,Yes,No,Yes,27.6,61.8,13,5,1,1,3.16,Medium,7.145,2.104,4.754,1.343,3.239,10.884,1.447,0.963,0.297,0.447,1.042,0.632
Sokoto,Maize,Rainy Season,Loamy,Irrigation,Sprinkler,No,Yes,No,27.6,84.2,21,2,1,0,2.09,Medium,6.973,2.17,4.383,1.591,3.073,10.554,1.221,2.17,0.706,0.328,1.064,1.045
Benue,Maize,Rainy Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,27.1,99.0,15,2,1,0,1.83,Medium,7.042,2.073,4.275,1.619,0.693,10.678,1.953,0.231,0.333,0.274,1.109,0.915
Benue,Yam,Dry Season,Clay,Mixed,Flood,No,Yes,No,24.3,69.4,21,4,1,1,1.7,Low,6.326,1.785,4.493,1.8,2.104,10.735,1.075,0.157,0.075,0.35,1.008,0.425
Katsina,Rice,Rainy Season,Silt,Irrigation,Sprinkler,Yes,No,Yes,29.9,58.7,12,3,0,1,5.05,High,6.752,1.915,3.726,1.461,2.342,11.181,1.864,1.91,0.816,0.509,1.197,1.683
Niger,Groundnut,Dry Season,Silt,Mixed,Flood,Yes,No,Yes,19.7,89.2,14,5,1,0,3.11,Medium,6.498,1.94,4.748,1.522,3.059,10.834,1.459,0.959,0.314,0.221,0.972,0.622
Zamfara,Maize,Rainy Season,Loamy,Irrigation,Sprinkler,Yes,Yes,Yes,23.1,98.7,17,6,0,0,3.57,High,6.752,1.921,4.433,1.466,3.391,10.709,1.953,0.652,0.192,0.234,1.063,0.595
Kaduna,Rice,Dry Season,Silt,Rain-Fed,None,Yes,No,No,27.6,63.0,19,3,1,1,3.27,Medium,6.366,1.884,4.785,2.023,3.135,10.692,1.343,1.176,0.375,0.438,0.955,1.09
Benue,Groundnut,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,36.8,79.0,19,4,1,1,2.59,High,6.688,2.001,4.42,0.0,2.468,10.234,1.953,0.775,0.314,0.466,1.042,0.648
Gombe,Yam,Rainy Season,Sandy,Rain-Fed,Flood,Yes,No,Yes,27.8,65.8,17,1,0,1,2.59,Low,6.185,2.041,3.93,1.721,2.617,11.043,0.815,0.997,0.381,0.422,1.036,2.59
Jigawa,Soybean,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,No,Yes,31.5,65.5,5,3,1,0,2.65,Medium,6.946,1.929,4.103,1.641,2.38,11.053,1.396,1.099,0.462,0.481,1.152,0.883
Niger,Rice,Rainy Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,26.5,69.7,5,1,1,1,2.59,Medium,6.924,2.081,4.339,1.517,3.578,10.863,1.306,1.376,0.385,0.38,1.079,2.59
Kaduna,Rice,Dry Season,Loamy,Rain-Fed,Flood,No,No,No,19.8,50.9,18,1,0,0,3.46,Low,7.069,1.836,4.377,2.054,2.955,10.974,0.837,0.432,0.146,0.389,1.138,3.46
Gombe,Cowpea,Dry Season,Loamy,Mixed,Drip,No,No,No,21.5,67.6,23,3,1,0,2.2,Low,6.686,1.947,3.789,0.698,3.424,10.911,1.026,1.603,0.468,0.318,1.166,0.733
Zamfara,Cassava,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,28.7,84.3,12,5,0,1,3.36,High,6.799,2.055,4.032,0.793,2.595,11.084,1.953,1.744,0.672,0.34,1.117,0.672
Kano,Cassava,Dry Season,Loamy,Irrigation,Sprinkler,No,No,No,30.8,59.6,16,4,1,1,6.01,Medium,6.261,2.004,3.388,1.826,3.469,10.924,1.623,0.385,0.111,0.517,1.161,1.502
Gombe,Groundnut,Rainy Season,Sandy,Mixed,Sprinkler,Yes,Yes,No,21.6,52.0,17,3,0,1,3.88,Medium,7.041,1.978,4.653,1.763,2.442,11.109,1.281,0.99,0.405,0.415,1.062,1.293
Taraba,Cowpea,Rainy Season,Loamy,Rain-Fed,Drip,Yes,Yes,No,26.1,70.2,7,2,0,0,2.04,Low,6.658,1.954,4.581,1.78,1.131,11.268,1.197,0.688,0.608,0.372,1.019,1.02
Niger,Wheat,Rainy Season,Loamy,Irrigation,Flood,No,Yes,Yes,27.4,44.3,16,2,1,0,1.49,Medium,6.507,1.797,4.642,2.141,1.74,10.683,1.247,0.495,0.284,0.619,1.011,0.745
Bauchi,Millet,Rainy Season,Loamy,Mixed,Flood,No,No,No,32.9,66.9,17,2,0,1,2.35,Low,6.479,2.239,4.358,0.997,2.851,10.883,0.982,0.678,0.238,0.492,0.982,1.175
Gombe,Soybean,Rainy Season,Silt,Irrigation,Flood,Yes,No,No,27.7,68.3,12,4,0,0,2.84,Medium,6.516,1.943,4.708,1.401,0.693,11.036,1.319,1.406,2.029,0.406,0.98,0.71
Plateau,Millet,Rainy Season,Loamy,Rain-Fed,Flood,Yes,No,Yes,32.9,53.8,13,4,0,1,3.12,Medium,6.76,1.92,3.94,1.297,2.797,10.913,1.459,2.17,0.776,0.612,1.154,0.78
Kano,Rice,Rainy Season,Sandy,Mixed,Flood,Yes,No,Yes,19.0,67.2,27,4,0,0,0.2,Low,6.598,1.96,0.182,1.79,2.797,10.48,1.128,1.828,0.654,0.283,3.08,0.05
Adamawa,Sorghum,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,32.8,78.9,9,4,1,0,2.73,Medium,6.326,2.059,1.504,1.807,3.544,10.441,1.351,0.113,0.032,0.416,1.775,0.682
Adamawa,Maize,Dry Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,28.7,60.9,8,3,1,1,4.7,Medium,6.829,2.084,4.452,1.686,2.845,11.082,1.564,0.255,0.09,0.471,1.045,1.567
Yobe,Maize,Rainy Season,Clay,Rain-Fed,Flood,No,No,Yes,27.5,43.8,0,4,0,1,3.77,Medium,7.143,2.016,4.746,1.887,3.096,11.085,1.311,0.842,0.272,0.628,1.056,0.942
Taraba,Cowpea,Dry Season,Sandy,Irrigation,Drip,Yes,Yes,Yes,26.2,55.2,7,5,1,1,3.16,High,6.904,2.053,4.089,2.014,3.371,11.063,1.839,1.991,0.591,0.475,1.124,0.632
Gombe,Cassava,Dry Season,Loamy,Irrigation,Sprinkler,Yes,No,Yes,24.0,58.0,18,3,0,1,1.68,High,6.906,2.035,4.628,1.3,2.588,11.217,1.829,0.095,0.037,0.414,1.036,0.56
Gombe,Sorghum,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,No,Yes,29.1,82.6,0,3,1,1,3.18,Medium,6.898,2.016,4.525,1.423,3.296,10.906,1.637,0.924,0.28,0.352,1.055,1.06
Yobe,Cowpea,Rainy Season,Loamy,Mixed,Drip,Yes,Yes,Yes,28.08,51.1,14,3,1,0,3.75,High,6.638,1.96,5.061,1.969,2.809,11.354,1.953,2.17,0.773,0.55,0.945,1.25
