FarmID,State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,FarmSize(Hectares),Rainfall(mm),Temperature(°C),Humidity(%),SoilPH,Fertilizer(kg/ha),Pesticide(L/ha),FarmExperience(Years),NumWorkers,DistanceToMarket(km),CreditAccess,ExtensionServices,PreviousYield(tons/ha),PlantingDensity(plants/ha),ActualYield(tons/ha),YieldCategory
FRM000001,Kebbi,Maize,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,0.87,576.0,29.8,63.0,5.62,27.6,6.42,19,3,22.9,0,1,1.11,100000.0,6.05,High
FRM000002,Sokoto,Millet,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,No,7.76,702.0,30.0,64.7,6.02,49.4,3.18,13,4,37.9,1,1,3.88,52344.0,3.45,Medium
FRM000003,Bauchi,Cowpea,Dry Season,Sandy,Irrigation,Flood,No,No,Yes,0.38,827.0,30.1,52.2,4.94,39.3,5.18,21,3,27.9,0,0,3.04,66641.0,2.21,Low
FRM000004,Yobe,Groundnut,Dry Season,Clay,Rain-Fed,Sprinkler,No,No,No,0.97,817.6,26.7,49.7,8.38,113.1,6.19,20,4,1.8,0,1,1.55,50945.0,1.58,Low
FRM000005,Adamawa,Cowpea,Dry Season,Clay,Irrigation,Drip,Yes,Yes,Yes,1.22,924.4,25.9,80.0,4.85,70.3,2.36,22,6,5.2,0,1,3.61,58168.0,5.24,High
FRM000006,Benue,Sorghum,Dry Season,Sandy,Mixed,Flood,Yes,Yes,No,1.57,670.3,27.2,56.3,6.53,92.3,3.12,13,4,8.4,1,0,3.26,50414.0,3.15,Medium
FRM000007,Bauchi,Millet,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,1.95,770.9,23.7,77.0,6.7,160.1,0.81,14,2,26.3,1,0,5.29,39197.0,3.3,Medium
FRM000008,Zamfara,Cowpea,Rainy Season,Sandy,Irrigation,Flood,No,Yes,Yes,3.96,499.9,30.3,40.7,5.75,76.8,2.87,15,2,19.1,0,0,3.78,28157.0,3.06,Medium
FRM000009,Kebbi,Groundnut,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,3.75,1083.7,28.2,44.5,6.39,96.1,4.01,12,1,35.6,0,0,3.02,57562.0,3.55,Medium
FRM000010,Taraba,Cowpea,Dry Season,Clay,Rain-Fed,Flood,No,Yes,No,0.33,1109.4,23.2,50.5,5.02,90.5,1.2,1,3,1.0,0,0,3.33,30137.0,1.84,Low
FRM000011,Katsina,Yam,Dry Season,Silt,Irrigation,Flood,Yes,No,No,2.72,708.3,27.9,53.2,4.52,112.4,5.17,8,4,37.7,0,1,1.68,44668.0,3.65,Medium
FRM000012,Kebbi,Wheat,Rainy Season,Sandy,Irrigation,Drip,Yes,No,Yes,5.47,904.2,34.4,80.0,6.17,92.8,5.36,4,3,28.2,0,1,1.88,47777.0,3.07,Medium
FRM000013,Adamawa,Wheat,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,Yes,0.11,854.9,26.1,76.8,6.7,79.5,5.72,10,1,14.1,1,0,2.26,41351.0,5.5,High
FRM000014,Adamawa,Cowpea,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,2.9,871.5,30.4,55.7,5.55,23.7,3.04,13,3,14.64,1,1,3.58,55133.0,6.01,High
FRM000015,Benue,Groundnut,Rainy Season,Loamy,Irrigation,Flood,No,Yes,Yes,1.51,865.1,30.6,57.2,6.09,98.3,0.53,20,6,9.0,1,1,1.79,68264.0,6.05,High
FRM000016,Zamfara,Yam,Rainy Season,Sandy,Mixed,Flood,Yes,No,Yes,1.62,1266.4,27.6,61.8,7.2,115.0,2.83,13,5,24.5,1,1,3.16,53310.0,3.25,Medium
FRM000017,Sokoto,Maize,Rainy Season,Loamy,Irrigation,Sprinkler,No,Yes,No,7.76,1066.6,27.6,84.2,7.76,79.1,3.91,21,2,20.6,1,0,2.09,38342.0,2.39,Medium
FRM000018,Benue,Maize,Rainy Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,0.26,1142.7,27.1,99.0,6.95,70.9,4.05,15,2,1.0,1,0,1.83,43397.0,6.05,Medium
FRM000019,Benue,Yam,Dry Season,Clay,Mixed,Flood,No,Yes,No,0.17,558.1,24.3,69.4,4.96,88.4,5.05,21,4,7.2,1,1,1.7,45934.0,1.93,Low
FRM000020,Katsina,Rice,Rainy Season,Silt,Irrigation,Sprinkler,Yes,No,Yes,5.75,855.0,29.9,58.7,5.79,40.5,3.31,12,3,9.4,0,1,5.05,71761.0,5.45,High
FRM000021,Niger,Groundnut,Dry Season,Silt,Mixed,Flood,Yes,No,Yes,1.61,662.6,19.7,89.2,5.96,114.3,3.58,14,5,20.3,1,0,3.11,50729.0,3.3,Medium
FRM000022,Zamfara,Maize,Rainy Season,Loamy,Irrigation,Sprinkler,Yes,Yes,Yes,0.92,854.8,23.1,98.7,5.83,83.2,3.33,17,6,28.7,0,0,3.57,44755.0,6.05,High
FRM000023,Kaduna,Rice,Dry Season,Silt,Rain-Fed,None,Yes,No,No,2.24,580.5,27.6,63.0,5.58,118.7,6.56,19,3,22.0,1,1,3.27,43985.0,2.83,Medium
FRM000024,Benue,Groundnut,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,1.17,801.9,36.8,79.0,6.4,82.1,0.0,19,4,10.8,1,1,2.59,27827.0,6.05,High
FRM000025,Gombe,Yam,Rainy Season,Sandy,Rain-Fed,Flood,Yes,No,Yes,1.71,484.5,27.8,65.8,6.7,49.9,4.59,17,1,12.7,0,1,2.59,62503.0,1.26,Low
FRM000026,Jigawa,Soybean,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,No,Yes,2.0,1038.1,31.5,65.5,5.88,59.5,4.16,5,3,9.8,1,0,2.65,63101.0,3.04,Medium
FRM000027,Niger,Rice,Rainy Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,2.96,1015.5,26.5,69.7,7.01,75.6,3.56,5,1,34.8,1,1,2.59,52224.0,2.69,Medium
FRM000028,Kaduna,Rice,Dry Season,Loamy,Rain-Fed,Flood,No,No,No,0.54,1173.6,19.8,50.9,5.27,78.6,6.8,18,1,18.2,0,0,3.46,58336.0,1.31,Low
FRM000029,Gombe,Cowpea,Dry Season,Loamy,Mixed,Drip,No,No,No,3.97,800.0,21.5,67.6,6.01,43.2,1.01,23,3,29.7,1,0,2.2,54756.0,1.79,Low
FRM000030,Zamfara,Cassava,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,4.72,895.9,28.7,84.3,6.81,55.4,1.21,12,5,12.4,0,1,3.36,65116.0,6.05,High
FRM000031,Kano,Cassava,Dry Season,Loamy,Irrigation,Sprinkler,No,No,No,0.47,522.9,30.8,59.6,6.42,28.6,5.21,16,4,31.1,1,1,6.01,55500.0,4.07,Medium
FRM000032,Gombe,Groundnut,Rainy Season,Sandy,Mixed,Sprinkler,Yes,Yes,No,1.69,1141.5,21.6,52.0,6.23,103.9,4.83,17,3,10.5,0,1,3.88,66800.0,2.6,Medium
FRM000033,Taraba,Cowpea,Rainy Season,Loamy,Rain-Fed,Drip,Yes,Yes,No,0.99,778.3,26.1,70.2,6.06,96.6,4.93,7,2,2.1,0,0,2.04,78243.0,2.31,Low
FRM000034,Niger,Wheat,Rainy Season,Loamy,Irrigation,Flood,No,Yes,Yes,0.64,668.6,27.4,44.3,5.03,102.7,7.51,16,2,4.7,1,0,1.49,43595.0,2.48,Medium
FRM000035,Bauchi,Millet,Rainy Season,Loamy,Mixed,Flood,No,No,No,0.97,650.2,32.9,66.9,8.38,77.1,1.71,17,2,16.3,0,1,2.35,53285.0,1.67,Low
FRM000036,Gombe,Soybean,Rainy Season,Silt,Irrigation,Flood,Yes,No,No,3.08,675.1,27.7,68.3,5.98,109.8,3.06,12,4,1.0,0,0,2.84,62038.0,2.74,Medium
FRM000037,Plateau,Millet,Rainy Season,Loamy,Rain-Fed,Flood,Yes,No,Yes,7.76,861.6,32.9,53.8,5.82,50.4,2.66,13,4,15.4,0,1,3.12,54898.0,3.3,Medium
FRM000038,Kano,Rice,Rainy Season,Sandy,Mixed,Flood,Yes,No,Yes,5.22,732.5,19.0,67.2,6.1,0.2,4.99,27,4,15.4,0,0,0.2,35595.0,2.09,Low
FRM000039,Adamawa,Sorghum,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,0.12,558.1,32.8,78.9,6.84,3.5,5.09,9,4,33.6,1,0,2.73,34217.0,2.86,Medium
FRM000040,Adamawa,Maize,Dry Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,0.29,923.1,28.7,60.9,7.04,84.8,4.4,8,3,16.2,1,1,4.7,65022.0,3.78,Medium
FRM000041,Yobe,Maize,Rainy Season,Clay,Rain-Fed,Flood,No,No,Yes,1.32,1264.6,27.5,43.8,6.51,114.1,5.6,0,4,21.1,0,1,3.77,65193.0,2.71,Medium
FRM000042,Taraba,Cowpea,Dry Season,Sandy,Irrigation,Drip,Yes,Yes,Yes,6.32,995.0,26.2,55.2,6.79,58.7,6.49,7,5,28.1,1,1,3.16,63790.0,5.29,High
FRM000043,Gombe,Cassava,Dry Season,Loamy,Irrigation,Sprinkler,Yes,No,Yes,0.1,997.1,24.0,58.0,6.65,101.3,2.67,18,3,12.3,0,1,1.68,74414.0,5.23,High
FRM000044,Gombe,Sorghum,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,No,Yes,1.52,988.8,29.1,82.6,6.51,91.3,3.15,0,3,26.0,1,1,3.18,54523.0,4.14,Medium
FRM000045,Yobe,Cowpea,Rainy Season,Loamy,Mixed,Drip,Yes,Yes,Yes,7.76,762.4,28.08,51.1,6.1,156.8,6.16,14,3,15.6,1,0,3.75,85296.0,6.05,High
FRM000046,Jigawa,Rice,Rainy Season,Loamy,Mixed,Sprinkler,No,Yes,Yes,1.03,678.2,22.8,57.5,4.03,72.0,0.97,12,7,32.6,1,0,1.67,57916.0,1.37,Low
FRM000047,Jigawa,Sorghum,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,No,7.12,955.5,26.0,62.5,6.21,133.8,2.03,9,4,42.0,1,1,4.72,61968.0,4.85,High
